Song,Album Release Date,Hot100 Ranking Year,Decade,Season
Bye Bye Love,1964-08-01,1964,Sixties,Summer
In Case You Didn't Know,2017-02-10,2017,new millennium,Winter
Found Out About You,1992-01-01,1994,Nighnties,Winter
Stranger on the Shore,1997-07-14,1997,Nighnties,Summer
MIDDLE CHILD,2019-01-23,2019,new millennium,Winter
Higher,1999-01-01,2000,Nighnties,Winter
Mony Mony,1968-01-01,1968,Sixties,Winter
(If You Let Me Make Love to You Then) Why Can't I Touch You?,1970-05-01,1970,Seventies,Spring
i'm yours,2022-10-28,2022,new millennium,Autumn
Goodies (feat. Petey Pablo),2004-09-27,2004,new millennium,Autumn
Separate Lives (Originally Performed by Phil Collins and Marilyn Martin) [Karaoke Version],2013-03-15,2013,new millennium,Spring
Baby-Baby-Baby,1992-02-25,1992,Nighnties,Winter
The Flame,1988-04-12,1988,Eighties,Spring
Only Sixteen,1975-01-01,1976,Seventies,Winter
Abilene,1963-12-17,1963,Sixties,Winter
Just a Song Before I Go,1977-06-17,1977,Seventies,Summer
Shiny Happy People,1991-03-12,1991,Nighnties,Spring
Respect,1967-03-10,1967,Sixties,Spring
1st of Tha Month,1995-07-25,1995,Nighnties,Summer
Anywhere,1998-04-13,1999,Nighnties,Spring
Switch,2005-01-01,2005,new millennium,Winter
The First Time,1990-03-20,1991,Nighnties,Spring
How Soon,2000-06-09,2000,new millennium,Summer
One of a Kind (Love Affair),1973-06-16,1973,Seventies,Summer
Wait,2018-06-15,2018,new millennium,Summer
Rock Yo Hips (feat. Lil Scrappy) - Main,2009-06-16,2009,new millennium,Summer
Look At Me!,2017-02-20,2017,new millennium,Winter
See You Again,2007-06-26,2008,new millennium,Summer
C'mon N' Ride It (The Train) - Radio Edit,2020-07-03,2020,new millennium,Summer
Twilight Zone,2008-10-22,2008,new millennium,Autumn
Marianne,1963-12-24,1963,Sixties,Winter
The A Team,2011-09-09,2013,new millennium,Autumn
You Are The Sunshine Of My Life,1972-10-28,1973,Seventies,Autumn
I Ain't Worried,2022-05-13,2022,new millennium,Spring
"You've Made Me so Very Happy (Originally Performed by Blood, Sweat & Tears) [Karaoke Version]",2015-10-30,2015,new millennium,Autumn
Saving Forever for You,1992-03-31,1993,Nighnties,Spring
Streets,2019-11-07,2021,new millennium,Autumn
You Showed Me,1968-08-14,1969,Sixties,Summer
Just Lose It,2004-11-12,2004,new millennium,Autumn
Dangerous,1988-10-19,1990,Eighties,Autumn
Another One Bites The Dust - Remastered 2011,1980-06-27,1981,Eighties,Summer
You Don't Know Me,2009-06-02,2009,new millennium,Summer
Donna - Single Version,1959-02-06,1959,Fifties,Winter
Too Close,2011-02-11,2012,new millennium,Winter
Forever And Ever,2010-10-26,2010,new millennium,Autumn
Rolling in the Deep,2011-01-24,2011,new millennium,Winter
With You I'm Born Again,1981-01-01,1981,Eighties,Winter
Hey Daddy (Daddy's Home),2010-03-30,2010,new millennium,Spring
"Little Old Man (Up Tight, Everything's Alright)",1967-07-14,1967,Sixties,Summer
This One's for the Children,1989-07-13,1990,Eighties,Summer
Chasing Cars,2006-01-01,2007,new millennium,Winter
Glad You Exist,2021-08-13,2021,new millennium,Summer
Still the One,1976-09-17,1976,Seventies,Autumn
U Got The Look - 2020 Remaster,1987-03-31,1987,Eighties,Spring
Body Party,2013-07-05,2013,new millennium,Summer
Jump Around - 30 Years Remaster,2022-07-22,2022,new millennium,Summer
"Baby the Rain Must Fall - From the Columbia Film ""Baby the Rain Must Fall""",1965-08-26,1965,Sixties,Summer
Wake Up Everybody (feat. Teddy Pendergrass),1975-11-01,1976,Seventies,Autumn
"Let It Go - From ""Frozen""/Soundtrack Version",2013-01-01,2014,new millennium,Winter
Rinky Dink,1962-01-01,1962,Sixties,Winter
Alone Again (Naturally),1972-01-01,1972,Seventies,Winter
One Last Cry,1992-06-23,1993,Nighnties,Summer
Quit Playing Games (With My Heart),1996-09-17,1998,Nighnties,Autumn
Enchanted,1991-01-01,1991,Nighnties,Winter
STAY (with Justin Bieber),2021-07-09,2021,new millennium,Summer
Rockin' Robin,1958-01-01,1958,Fifties,Winter
Best Thing That Ever Happened to Me,1973-02-06,1974,Seventies,Winter
Sometimes,1999-01-12,1999,Nighnties,Winter
Bad and Boujee (feat. Lil Uzi Vert),2017-01-27,2017,new millennium,Winter
From A Jack To A King,1995-01-01,1995,Nighnties,Winter
All The Man That I Need,1990-11-04,1991,Nighnties,Autumn
"Mercy, Mercy, Mercy - Single Version",1967-06-01,1967,Sixties,Summer
If You Love Me,1993-06-01,1995,Nighnties,Summer
The All American Boy,2011-04-01,2011,new millennium,Spring
Life in a Northern Town,1985-05-15,1986,Eighties,Spring
My Love Is Your Love,1998-11-17,1999,Nighnties,Autumn
Morning Has Broken - Remastered 2021,1971-10-01,1972,Seventies,Autumn
Story of My Life,2013-11-25,2014,new millennium,Autumn
Believe Me,2014-05-28,2014,new millennium,Spring
Mrs. Officer,2008-06-10,2008,new millennium,Summer
Get Money,1995-08-15,1996,Nighnties,Summer
Cracklin' Rosie - Single Version,1970-07-11,1970,Seventies,Summer
Times Of Your Life,1975-05-06,1976,Seventies,Spring
Volare,2005-10-18,2005,new millennium,Autumn
Bandit,2021-03-26,2021,new millennium,Spring
2 Legit 2 Quit,1991-01-01,1992,Nighnties,Winter
Talk To Me,2015-03-10,2015,new millennium,Spring
Boyfriend,2012-01-01,2012,new millennium,Winter
The Dickie Bird Song,2003-05-19,2003,new millennium,Spring
The Thrill Is Gone,1969-12-05,1970,Sixties,Winter
Saturday Night,1993-05-14,1993,Nighnties,Spring
Crazy for This Girl,2000-08-29,2001,new millennium,Summer
Drag Me Down,2015-11-13,2015,new millennium,Autumn
(You Don't Know) How Glad I Am,1964-01-01,1964,Sixties,Winter
The Hucklebuck - Remastered 1993,1993-08-12,1993,Nighnties,Summer
I'm Your Boogie Man (Originally Performed by KC And The Sunshine Band) [Karaoke Version],2016-10-13,2016,new millennium,Autumn
I Shot The Sheriff,1997-01-01,1997,Nighnties,Winter
The Best Day,2000-01-01,2000,new millennium,Winter
You Were On My Mind,2010-01-01,2010,new millennium,Winter
Last Kiss,1999-05-08,1999,Nighnties,Spring
I've Got Love on My Mind (Originally Performed by Natalie Cole) [Karaoke Version],2016-01-29,2016,new millennium,Winter
Gloria,1995-06-06,1995,Nighnties,Summer
We Are Never Ever Getting Back Together (Taylor's Version),2021-11-12,2021,new millennium,Autumn
This Ole House - Single Version,1948-05-12,1954,Fourties,Spring
Busted,2021-09-10,2021,new millennium,Autumn
Be Without You - Kendu Mix,2005-01-01,2006,new millennium,Winter
Family Affair,2001-08-28,2001,new millennium,Summer
"Little Red Corvette - 7"" Edit - 2019 Remaster",2019-09-10,2019,new millennium,Autumn
Sex & Candy,1997-01-01,1998,Nighnties,Winter
A Bay Bay - Single Version,2007-06-19,2007,new millennium,Summer
Edge of Seventeen - 2016 Remaster,1981-07-27,1982,Eighties,Summer
Powerglide (feat. Juicy J) - From SR3MM,2018-05-04,2018,new millennium,Spring
Love Is a Wonderful Thing,1991-04-23,1991,Nighnties,Spring
Issues,2017-07-28,2017,new millennium,Summer
I'm Your Man,1986-11-25,1986,Eighties,Autumn
Without Me,2020-01-17,2020,new millennium,Winter
The Reflex - Single Version; 2010 Remaster,1983-11-21,1984,Eighties,Autumn
DJ Got Us Fallin' In Love (feat. Pitbull),2013-06-24,2013,new millennium,Summer
This Is My Song,2003-04-14,2003,new millennium,Spring
GO (feat. Juice WRLD),2021-07-27,2022,new millennium,Summer
Sally Go Round The Roses,2011-06-14,2011,new millennium,Summer
Lost Without Your Love,1977-03-06,1977,Seventies,Spring
Love Story (Taylor’s Version),2021-02-12,2021,new millennium,Winter
I Need Your Love (feat. Ellie Goulding),2012-10-29,2013,new millennium,Autumn
Fantastic,2022-09-02,2022,new millennium,Autumn
Want Ads (Music From And Inspired By The Motion Picture),2010-07-27,2010,new millennium,Summer
What Lovers Do (feat. SZA),2018-06-15,2018,new millennium,Summer
Love,2000-01-01,2001,new millennium,Winter
AA,2022-01-21,2022,new millennium,Winter
Oops!...I Did It Again,2000-05-16,2000,new millennium,Spring
Please Don't Go (Karaoke in the style of KWS),2009-09-21,2009,new millennium,Autumn
Dear Future Husband,2015-01-09,2015,new millennium,Winter
Hide Away,2016-10-07,2016,new millennium,Autumn
Hey Girl,2009-05-01,2009,new millennium,Spring
Down By The Lazy River,1971-06-21,1972,Seventies,Summer
Make Me Better,2007-01-01,2007,new millennium,Winter
He’ll Have to Go - Melody Ranch Live Version,2020-07-17,2020,new millennium,Summer
How Do You Sleep?,2019-07-19,2019,new millennium,Summer
Maria Elena,1964-08-26,1964,Sixties,Summer
5 O'Clock (feat. Lily Allen & Wiz Khalifa),2011-12-06,2012,new millennium,Winter
Achy Breaky Heart,1992-05-07,1992,Nighnties,Spring
Say Aah (feat. Fabolous),2009-08-31,2010,new millennium,Summer
Wildest Dreams (Taylor's Version),2021-09-17,2021,new millennium,Autumn
Hrs & Hrs,2022-09-23,2022,new millennium,Autumn
Damn! (feat. Lil' Jon) - Club Mix,2003-07-25,2003,new millennium,Summer
MyBabyDaddy,1999-09-01,1999,Nighnties,Autumn
Do You Know the Way to San Jose,1968-04-10,1968,Sixties,Spring
Money Maker,2006-01-01,2006,new millennium,Winter
Heart Attack,2012-08-17,2012,new millennium,Summer
Please Forgive Me,2005-10-18,2005,new millennium,Autumn
Country Girl (Shake It For Me),2011-01-01,2011,new millennium,Winter
"I NEED U, IN THE SUMMERTIME",2020-08-08,2020,new millennium,Summer
Love Lockdown,2008-11-24,2008,new millennium,Autumn
I Wonder What She's Doing Tonight?,1968-01-01,1968,Sixties,Winter
Cover Girl,1988-09-02,1989,Eighties,Autumn
"Tighten Up, Pt. 1",1968-07-18,1968,Sixties,Summer
Eh Cumpari,2010-04-20,2010,new millennium,Spring
The Way You Love Me,1988-01-01,1989,Eighties,Winter
Second Chance,1988-01-01,1989,Eighties,Winter
Arthur's Theme (Best That You Can Do),1981-07-13,1981,Eighties,Summer
Break My Heart,2020-03-27,2020,new millennium,Spring
I Love a Rainy Night,1991-05-07,1991,Nighnties,Spring
Humble And Kind,2015-01-01,2016,new millennium,Winter
Pray For Me (with Kendrick Lamar),2018-02-09,2018,new millennium,Winter
'Til You Do Me Right,1995-01-01,1995,Nighnties,Winter
Two Faces Have I,1963-01-01,1963,Sixties,Winter
More Than A Woman,2001-07-07,2002,new millennium,Summer
Have You Ever Needed Someone So Bad,2023-05-19,2023,new millennium,Spring
The Lazy Song,2010-10-05,2011,new millennium,Autumn
Miss You - Remastered,1978-06-09,1978,Seventies,Summer
Bad Blood,2007-04-24,2007,new millennium,Spring
Clocks,2002-08-08,2003,new millennium,Summer
Ditty,1993-07-15,1993,Nighnties,Summer
When I Look Into Your Eyes,1992-03-31,1992,Nighnties,Spring
You're in Love (Originally Performed by Wilson Phillips) [Karaoke Version],2013-03-15,2013,new millennium,Spring
Just Walkin' in the Rain,1991-09-03,1991,Nighnties,Autumn
Let It Be - Remastered 2009,1970-05-08,1970,Seventies,Spring
Wild World,1970-11-23,1971,Seventies,Autumn
Peaches,2023-04-07,2023,new millennium,Spring
Wonderful,2000-01-01,2000,new millennium,Winter
The Monkey Time,2014-08-18,2014,new millennium,Summer
All The Things (Your Man Won't Do),1997-09-23,1997,Nighnties,Autumn
You’ll Think Of Me,2002-01-01,2004,new millennium,Winter
Dragnet,1989-01-01,1989,Eighties,Winter
Happy-Go-Lucky-Me,1961-12-24,1961,Sixties,Winter
Don't Know Much (with Aaron Neville),1989-03-09,1990,Eighties,Spring
Stay The Same,1999-03-16,1999,Nighnties,Spring
Wildflower,1996-01-01,1996,Nighnties,Winter
I Remember,2007-01-01,2008,new millennium,Winter
Most Girls,2000-04-04,2001,new millennium,Spring
( What A) Wonderful World,1966-01-01,1966,Sixties,Winter
I Feel It Coming,2016-11-25,2017,new millennium,Autumn
Together Again,1997-10-07,1997,Nighnties,Autumn
Party In The U.S.A.,2009-01-01,2010,new millennium,Winter
Go Crazy,2020-05-08,2020,new millennium,Spring
Outta Control - Remix,2005-01-01,2005,new millennium,Winter
Morning Train (Nine to Five) - Edit,1981-01-05,1981,Eighties,Winter
Coming Up - Remastered 2011,1980-05-16,1980,Eighties,Spring
As Long As You Love Me,2012-06-15,2012,new millennium,Summer
Sweet Mary,2013-03-31,2013,new millennium,Spring
Dance with Me,1977-02-08,1978,Seventies,Winter
I Can Dream About You,1987-05-25,1987,Eighties,Spring
Bang Bang - Imanos & Gramercy Remix,2014-09-30,2014,new millennium,Autumn
Rich Girl,1976-08-01,1977,Seventies,Summer
White Horse (Taylor’s Version),2021-04-09,2021,new millennium,Spring
Unbelievable,1991-05-07,1991,Nighnties,Spring
I Fall To Pieces - Single Version,1961-11-27,1961,Sixties,Autumn
"Baby, You’ve Got What It Takes",1989-01-01,1989,Eighties,Winter
There'll Be Sad Songs (To Make You Cry) [Originally Performed by Billy Ocean] [Karaoke Version],2013-03-15,2013,new millennium,Spring
You’re My Best Friend - Backing Track Mix,1975-11-21,1976,Seventies,Autumn
ROXANNE,2019-10-10,2020,new millennium,Autumn
Brother Louie,1973-04-15,1973,Seventies,Spring
My Place,2004-09-14,2004,new millennium,Autumn
Ebb Tide,1964-05-15,1964,Sixties,Spring
We've Got Tonight,1983-02-11,1983,Eighties,Winter
I’ve Never Been To Me - Rerecorded,2018-12-20,2018,new millennium,Winter
Songbird,1986-09-01,1987,Eighties,Autumn
The Lover In Me,1988-11-01,1989,Eighties,Autumn
Tonight's the Night (Gonna Be Alright) - 2009 Remaster,1976-03-05,1977,Seventies,Spring
The Stroll,1996-08-20,1996,Nighnties,Summer
"(Shake, Shake, Shake) Shake Your Booty",2004-10-26,2004,new millennium,Autumn
Doin' It,1995-11-21,1996,Nighnties,Autumn
Shine a Little Love,1979-05-31,1979,Seventies,Spring
"South America, Take It Away - Single Version",1993-01-01,1993,Nighnties,Winter
Get Up (Before The Night Is Over),1989-11-28,1990,Eighties,Autumn
Rack City,2012-01-01,2012,new millennium,Winter
Use ta Be My Girl - Single Version,2008-06-10,2008,new millennium,Summer
Everybody Plays the Fool,2005-03-10,2005,new millennium,Spring
Young Hearts Run Free,1976-02-13,1976,Seventies,Winter
Bread and Butter,2011-09-20,2011,new millennium,Autumn
Sweater Weather,2013-04-19,2014,new millennium,Spring
I Wanna Love Him So Bad,2012-03-13,2012,new millennium,Spring
The Loco-Motion - Remastered 2002,1974-03-01,1974,Seventies,Spring
Check Yo Self - Remix,1994-11-22,1994,Nighnties,Autumn
My List,2008-01-01,2008,new millennium,Winter
I Wanna Love You,1992-11-13,1992,Nighnties,Autumn
Elastic Heart,2015-05-04,2015,new millennium,Spring
If This Is It,1983-03-13,1984,Eighties,Spring
Are You Lonesome Tonight?,1997-07-15,1997,Nighnties,Summer
Levitating (feat. DaBaby),2020-03-27,2021,new millennium,Spring
She's Not Gone Yet But She's Leaving,2013-10-07,2013,new millennium,Autumn
Jack & Diane,1982-06-04,1982,Eighties,Summer
Downtown,1996-04-22,1996,Nighnties,Spring
Say So,2019-11-07,2020,new millennium,Autumn
"Work Hard, Play Hard",2012-12-04,2012,new millennium,Winter
Whatever It Is,2008-11-17,2009,new millennium,Autumn
Yes I'm Ready,1996-04-04,1996,Nighnties,Spring
Take It Off,2010-01-01,2010,new millennium,Winter
I Like Dreamin',1976-07-16,1977,Seventies,Summer
Don't Pull Your Love,2021-05-28,2021,new millennium,Spring
"Walk, Don't Run - Stereo",1960-01-01,1960,Sixties,Winter
The Poor People Of Paris (Jean's Song),1957-01-01,1957,Fifties,Winter
When It Was Me,2006-06-01,2007,new millennium,Summer
Cream,1991-10-01,1991,Nighnties,Autumn
"When the Going Gets Tough, The Tough Get Going",2010-04-26,2010,new millennium,Spring
I'm Looking Over A Four Leaf Clover (Jazz Samba),1997-01-01,1997,Nighnties,Winter
The Freshmen,1996-03-25,1997,Nighnties,Spring
"Lay, Lady, Lay",1969-04-09,1969,Sixties,Spring
Poison,1990-01-01,1990,Nighnties,Winter
Free Fallin',1989-01-01,1990,Eighties,Winter
My Life,2008-01-01,2008,new millennium,Winter
My Cherie Amour,1969-08-01,1969,Sixties,Summer
Bottoms Up,2014-01-01,2014,new millennium,Winter
"C'Mon And Get My Love (feat. Cathy Dennis) - 7"" Version",1989-02-10,1990,Eighties,Winter
My Eyes Adored You,1975-05-05,1975,Seventies,Spring
Endlessly,1989-01-01,1989,Eighties,Winter
LUV,2016-08-19,2016,new millennium,Summer
The Show Goes On,2011-03-04,2011,new millennium,Spring
Thriller,2008-02-08,2008,new millennium,Winter
2 Step,2006-10-03,2007,new millennium,Autumn
You Say,2018-09-07,2019,new millennium,Autumn
It's Been Awhile,2001-05-22,2001,new millennium,Spring
I Knew I Loved You,1999-11-09,2000,Nighnties,Autumn
I'll Be Home - Single Version,1993-01-01,1993,Nighnties,Winter
Your Mama Don't Dance,1971-05-09,1973,Seventies,Spring
Talk You Out Of It,2019-02-15,2019,new millennium,Winter
Try Again,2014-08-18,2014,new millennium,Summer
(It’s Just) The Way That You Love Me - Single Version,2000-01-01,2000,new millennium,Winter
Price of Love,1989-06-15,1990,Eighties,Summer
Livin' Thing,1976-09-01,1977,Seventies,Autumn
Set U Free,1996-06-14,1996,Nighnties,Summer
This Is What You Came For,2016-04-29,2016,new millennium,Spring
Tom's Diner,2019-06-28,2019,new millennium,Summer
All I Want for Christmas Is You,1994-10-28,2021,Nighnties,Autumn
Kryptonite,2000-08-22,2001,new millennium,Summer
My Baby,2001-01-01,2001,new millennium,Winter
We Gotta Get Out Of This Place - UK Single Version,1965-09-01,1965,Sixties,Autumn
Because Of You,1998-01-01,1998,Nighnties,Winter
Hold Me Tight,2004-07-19,2004,new millennium,Summer
Blessings,2015-02-24,2015,new millennium,Winter
Shower,2014-04-23,2014,new millennium,Spring
"Bills, Bills, Bills",1999-07-27,1999,Nighnties,Summer
Twistin' Matilda (and the Channel),2012-01-10,2012,new millennium,Winter
You Make Me Feel Like Dancing - Remastered,1976-04-15,1977,Seventies,Spring
Let My Love Open The Door,1980-04-21,1980,Eighties,Spring
Carry On,2012-02-21,2013,new millennium,Winter
Sherry,1962-10-01,1962,Sixties,Autumn
Take A Message To Mary,1960-07-12,1960,Sixties,Summer
Sweet Violets,2006-07-14,2006,new millennium,Summer
"Easy Come, Easy Go",2014-12-03,2014,new millennium,Winter
Rock Me Gently,2008-01-01,2008,new millennium,Winter
Why Can't This Be Love,1986-03-24,1986,Eighties,Spring
Kissin' You,1996-01-30,1996,Nighnties,Winter
I Will Follow Him (Chariot),1999-11-09,1999,Nighnties,Autumn
You Got What It Takes,1960-01-01,1960,Sixties,Winter
The Good Stuff,2002-04-02,2002,new millennium,Spring
My All,1997-09-16,1998,Nighnties,Autumn
Daisy A Day,1972-01-01,1973,Seventies,Winter
(Put Another Nickel In) Music! Music! Music!,1995-01-01,1995,Nighnties,Winter
Baby Shark,2017-07-27,2019,new millennium,Summer
El Perdón (with Enrique Iglesias),2017-01-20,2017,new millennium,Winter
Habits (Stay High),2014-01-01,2014,new millennium,Winter
Gravy (For My Mashed Potatoes),1962-01-01,1962,Sixties,Winter
(Sweet Sweet Baby) Since You've Been Gone,1968-01-22,1968,Sixties,Winter
Starships,2011-01-01,2012,new millennium,Winter
Don't Mind - Originally performed by Kent Jones,2016-06-23,2016,new millennium,Summer
Love Will Turn You Around,1982-06-28,1982,Eighties,Summer
Saturday in the Park - 2002 Remaster,1972-07-10,1972,Seventies,Summer
You May Be Right,1980-03-12,1980,Eighties,Spring
Love You Down - Extended Remix,1986-09-30,1987,Eighties,Autumn
Love On The Brain,2016-01-28,2017,new millennium,Winter
Who Dat,1999-01-01,1999,Nighnties,Winter
In Too Deep - 2007 Remaster,1986-06-09,1987,Eighties,Summer
Whataya Want from Me,2009-11-23,2010,new millennium,Autumn
Daughters,2003-09-09,2005,new millennium,Autumn
Oochie Wally - Remix,2013-08-20,2013,new millennium,Summer
Thank God I'm a Country Boy,1974-06-15,1975,Seventies,Summer
Sunshine On My Shoulders,1971-03-06,1974,Seventies,Spring
Tell Him No,2018-08-10,2018,new millennium,Summer
Stay In My Corner,1968-01-01,1968,Sixties,Winter
No More (Baby I'ma Do Right),2000-11-06,2001,new millennium,Autumn
Steal Away - Remastered,1980-12-01,1980,Eighties,Winter
Me and Mrs. Jones,1972-10-25,1973,Seventies,Autumn
Take You There,2008-03-11,2008,new millennium,Spring
I Ain't Gonna Stand For It,1980-09-29,1981,Eighties,Autumn
Pop That Thang,1972-08-21,1972,Seventies,Summer
Hot (feat. Gunna),2019-08-16,2020,new millennium,Summer
Jive Talkin',1975-06-01,1975,Seventies,Summer
Let Her Go,2012-08-28,2013,new millennium,Summer
Waves - Robin Schulz Remix,2014-11-13,2015,new millennium,Autumn
Smoky Places - Remastered,2018-07-31,2018,new millennium,Summer
Nite and Day,1988-04-26,1988,Eighties,Spring
Knee Deep (feat. Jimmy Buffett),2010-09-20,2011,new millennium,Autumn
It Only Takes A Minute,1975-07-05,1975,Seventies,Summer
I Love It (feat. Charli XCX),2013-08-27,2013,new millennium,Summer
Climax,2012-06-12,2012,new millennium,Summer
Tammy,2009-01-01,2009,new millennium,Winter
Annie's Song,1974-06-15,1974,Seventies,Summer
BOP,2019-09-27,2020,new millennium,Autumn
This Old Heart Of Mine (Is Weak For You),1966-05-12,1966,Sixties,Spring
Heaven,2004-11-16,2004,new millennium,Autumn
Jungle Fever,1997-01-01,1997,Nighnties,Winter
Let It Be Me,2007-01-01,2007,new millennium,Winter
Reflections,1968-03-25,1968,Sixties,Spring
"Fastlove, Pt. 1",1996-05-13,1996,Nighnties,Spring
Who's Sorry Now,2005-06-14,2005,new millennium,Summer
The Other Woman,1982-07-05,1982,Eighties,Summer
Truth Is,2004-11-22,2005,new millennium,Autumn
Arizona,1970-03-04,1970,Seventies,Spring
Meant to Be (feat. Florida Georgia Line),2017-08-11,2018,new millennium,Summer
Diamonds,2012-01-01,2012,new millennium,Winter
Hold the Line,1978-10-10,1979,Seventies,Autumn
You Don't Have To Say You Love Me,1966-07-01,1966,Sixties,Summer
Umbrella (Sped Up),2022-08-03,2022,new millennium,Summer
Where Have All the Cowboys Gone?,1996-03-09,1997,Nighnties,Spring
Funny Way Of Laughing,2001-09-25,2001,new millennium,Autumn
Photograph,1983-01-20,1983,Eighties,Winter
Turn Me Loose,1959-12-03,1959,Fifties,Winter
A Walk In The Black Forest,1964-03-20,1965,Sixties,Spring
Homesick,2019-11-01,2020,new millennium,Autumn
So Emotional,1987-06-02,1988,Eighties,Summer
Excuse Me Miss,2002-11-12,2003,new millennium,Autumn
All This Love,1982-04-28,1983,Eighties,Spring
Secret,1994-10-25,1995,Nighnties,Autumn
Sweet Freedom,1986-01-01,1986,Eighties,Winter
Friend Of Mine - Remix,1998-01-01,1998,Nighnties,Winter
Enemy (with JID) - from the series Arcane League of Legends,2022-07-01,2022,new millennium,Summer
I Do Love You,2003-07-17,2003,new millennium,Summer
Only The Lonely - Remastered 1999,2022-04-01,2022,new millennium,Spring
Lost Without U,2006-01-01,2007,new millennium,Winter
Highway Don't Care,2013-01-01,2013,new millennium,Winter
"It Must Have Been Love - From the Film ""Pretty Woman""",1990-05-20,1990,Nighnties,Spring
Wants & Needs,2023-04-27,2023,new millennium,Spring
Paradise,2011-10-24,2012,new millennium,Autumn
Stomp! - Single Version,2003-01-01,2003,new millennium,Winter
My Life Would Suck Without You,2009-03-06,2009,new millennium,Spring
You Should Be Mine (Don't Waste Your Time),1997-01-01,1997,Nighnties,Winter
I Saw Her Standing There - Remastered 2009,1963-03-22,1964,Sixties,Spring
Mighty Love,1974-06-20,1974,Seventies,Summer
Hey Deanie,1977-11-08,1978,Seventies,Autumn
Rock Your Baby,2019-10-18,2019,new millennium,Autumn
Why You Wanna,2006-03-26,2006,new millennium,Spring
"The Theme from ""A Summer Place""",1989-06-13,1989,Eighties,Summer
Dead Man's Curve,2010-01-01,2010,new millennium,Winter
Daddy's Home,1972-01-01,1973,Seventies,Winter
Hey Ma,2002-01-01,2002,new millennium,Winter
Midnight Confessions,1969-03-01,1969,Sixties,Spring
Only Yesterday,2008-05-05,2008,new millennium,Spring
Take Good Care Of My Baby,1962-02-01,1962,Sixties,Winter
The Jolly Green Giant (Re-Recording),2002-01-01,2002,new millennium,Winter
"Nuthin' But A ""G"" Thang",1992-12-15,1993,Nighnties,Winter
"Don't Knock My Love, Pt. 1",2018-02-27,2018,new millennium,Winter
Butta Love,1997-09-30,1997,Nighnties,Autumn
Him,1979-01-01,1980,Seventies,Winter
Miss You Much,1989-09-19,1989,Eighties,Autumn
Can’t Buy Me Love - Acoustic Cover,2018-12-13,2018,new millennium,Winter
I'm Easy (Originally Performed by Keith Carradine) [Karaoke Version],2013-03-15,2013,new millennium,Spring
Scars To Your Beautiful,2015-11-13,2017,new millennium,Autumn
Tití Me Preguntó,2022-05-06,2022,new millennium,Spring
Love Is A Many-Splendored Thing,1993-09-28,1993,Nighnties,Autumn
She's Out of My Life - Single Version,1979-08-10,1980,Seventies,Summer
Disco Duck - Pt. 1 Vocal,1977-01-01,1977,Seventies,Winter
Work It,2002-11-11,2003,new millennium,Autumn
Chuck E's in Love - 45 Version,1979-05-05,1979,Seventies,Spring
Morning Side Of The Mountain,1974-07-06,1975,Seventies,Summer
The Boys Of Summer,1984-01-01,1985,Eighties,Winter
If I Die Young,2010-01-01,2011,new millennium,Winter
To Love Somebody,1992-08-31,1993,Nighnties,Summer
Classical Gas,1968-02-07,1968,Sixties,Winter
Boo'd Up,2017-02-22,2018,new millennium,Winter
Mama Can't Buy You Love,1989-02-01,1989,Eighties,Winter
This Kiss,1998-04-10,1998,Nighnties,Spring
Change Clothes,2003-11-14,2004,new millennium,Autumn
The Purple People Eater,1997-01-01,1997,Nighnties,Winter
Ooh Aah...Just a Little Bit - Motiv8 Radio Edit,1997-03-24,1997,Nighnties,Spring
Green Grass - Remastered,1990-01-01,1990,Nighnties,Winter
Love of a Lifetime,1990-09-01,1991,Nighnties,Autumn
I'm in Love Again (Originally Performed by Fats Domino) [Karaoke Version],2015-11-12,2015,new millennium,Autumn
bury a friend,2019-03-29,2019,new millennium,Spring
Going Bad (feat. Drake),2018-11-30,2019,new millennium,Autumn
You And I,1978-04-20,1978,Seventies,Spring
Doin' What Comes Natur'lly,1989-06-13,1989,Eighties,Summer
I'm Leaving It All Up To You,2023-04-27,2023,new millennium,Spring
Groovy Situation - Single Version,1995-01-01,1995,Nighnties,Winter
Exodus,1998-01-01,1998,Nighnties,Winter
Can't Remember to Forget You (feat. Rihanna),2014-03-13,2014,new millennium,Spring
Stop Draggin' My Heart Around (with Tom Petty and The Heartbreakers) - 2016 Remaster,1981-07-27,1981,Eighties,Summer
I Dig Rock and Roll Music,1967-10-31,1967,Sixties,Autumn
Airplanes (feat. Hayley Williams of Paramore),2010-04-27,2010,new millennium,Spring
Fool (If You Think It's Over),1978-11-10,1978,Seventies,Autumn
Cry for Help - Single Edit,2019-10-25,2019,new millennium,Autumn
Dazz - Single Version,1976-05-12,1977,Seventies,Spring
Poor Little Fool - Remastered,1958-07-01,1958,Fifties,Summer
Misery,1995-06-06,1995,Nighnties,Summer
And Our Feelings,1993-08-24,1994,Nighnties,Summer
Sugar Sugar,1969-11-14,1969,Sixties,Autumn
Just a Friend,2009-06-11,2009,new millennium,Summer
Oh! My Pa-Pa (O Mein Papa) - 2001 Remastered,2001-07-10,2001,new millennium,Summer
I Belong To You (Every Time I See Your Face),1997-03-04,1997,Nighnties,Spring
Armageddon It - Remastered 2017,1987-08-03,1989,Eighties,Summer
Soak Up The Sun,2002-04-08,2002,new millennium,Spring
The Boss,1979-05-23,1979,Seventies,Spring
The Beat Goes On,1967-07-13,1967,Sixties,Summer
