Song,Album Release Date,Hot100 Ranking Year,Decade,Season
The Stroll,1996-08-20,1996,Nighnties,Summer
"Hold Me, Thrill Me, Kiss Me",1996-01-01,1996,Nighnties,Winter
All I Have to Give,1996-09-13,1999,Nighnties,Autumn
In My Bed,1996-11-19,1997,Nighnties,Autumn
Sin (It's No) Sin,1996-01-01,1996,Nighnties,Winter
Children,1996-07-11,1996,Nighnties,Summer
I Wanna Be Loved - 1950 Single Version,1996-01-01,1996,Nighnties,Winter
Seems Like Old Times,1996-10-22,1996,Nighnties,Autumn
Hit Me Off,1996-01-01,1996,Nighnties,Winter
Let Me Clear My Throat - Old School Reunion Remix '96,1996-01-01,1997,Nighnties,Winter
Dang Me,1996-06-08,1996,Nighnties,Summer
You're Makin' Me High,1996-06-18,1996,Nighnties,Summer
My Adobe Hacienda,1996-01-01,1996,Nighnties,Winter
Only You (feat. The Notorious B.I.G. & Mase) - Bad Boy Remix,1996-08-27,1996,Nighnties,Summer
Pillow Talk,1996-08-20,1996,Nighnties,Summer
Sweet Dreams - Radio Version,1996-01-16,1996,Nighnties,Winter
"Which Way You Goin', Billy?",1996-06-11,1996,Nighnties,Summer
I Believe In You And Me - Film Version,1996-11-27,1997,Nighnties,Autumn
Macarena,1996-04-29,1996,Nighnties,Spring
Woo Hah!! Got You All in Check,1996-03-03,1996,Nighnties,Spring
I Want to Take You Higher,1996-09-13,1996,Nighnties,Autumn
My Boo - Hitman's Club Mix,1996-03-26,2005,Nighnties,Spring
All Cried Out (feat. 112) - Behind the scenes Video,1997-05-06,1998,Nighnties,Spring
Girl Watcher,1997-08-12,1997,Nighnties,Summer
My Body,1997-10-31,1998,Nighnties,Autumn
Come Go With Me,1997-01-01,1997,Nighnties,Winter
Bop Gun (One Nation) - Radio Edit,1997-12-15,1997,Nighnties,Winter
What You Want (feat. Total),1997-08-10,1998,Nighnties,Summer
Semi-Charmed Life,1997-04-08,1997,Nighnties,Spring
"Danger Zone - From ""Top Gun"" Original Soundtrack",1997-03-25,1997,Nighnties,Spring
Tubthumping,1997-09-01,1997,Nighnties,Autumn
Not Gon' Cry,1997-01-01,1997,Nighnties,Winter
From This Moment On,1997-11-04,1999,Nighnties,Autumn
Can't Nobody Hold Me Down (feat. Mase),1997-07-20,1997,Nighnties,Summer
Anniversary,1997-01-01,1997,Nighnties,Winter
I Don't Ever Want to See You Again,1997-04-29,1998,Nighnties,Spring
Feel so Good,1997-06-12,1998,Nighnties,Summer
All Cried Out (feat. 112) - Behind the scenes Video,1997-05-06,1997,Nighnties,Spring
One More Time,1997-03-25,1997,Nighnties,Spring
"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",1997-05-04,1997,Nighnties,Spring
Go the Distance,1997-11-04,1997,Nighnties,Autumn
Walkin' In The Rain With The One I Love,1997-01-01,1997,Nighnties,Winter
Guitar Boogie Shuffle,1997-01-01,1997,Nighnties,Winter
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,1997-03-04,1997,Nighnties,Spring
White on White,1997-04-12,1997,Nighnties,Spring
You Make Me Wanna...,1997-09-16,1997,Nighnties,Autumn
Your Woman,1997-02-24,1997,Nighnties,Winter
Something About The Way You Look Tonight - Edit Version,1997-01-01,1997,Nighnties,Winter
I Will Come To You,1997-01-01,1998,Nighnties,Winter
Midnight In Moscow,1997-06-17,1997,Nighnties,Summer
"Never Again, Again",1997-01-01,2000,Nighnties,Winter
My All,1997-09-16,1998,Nighnties,Autumn
Angel,1997-08-29,1999,Nighnties,Summer
Sex & Candy,1997-01-01,1998,Nighnties,Winter
Dear Hearts And Gentle People,1997-11-04,1997,Nighnties,Autumn
My Way,1997-09-16,1998,Nighnties,Autumn
If I Can't Have You,1997-01-01,1997,Nighnties,Winter
Together Again,1997-10-07,1997,Nighnties,Autumn
I Shot The Sheriff,1997-01-01,1997,Nighnties,Winter
You Make Me Wanna...,1997-09-16,1998,Nighnties,Autumn
A Song For Mama,1997-03-23,1998,Nighnties,Spring
G.H.E.T.T.O.U.T.,1997-05-30,1997,Nighnties,Spring
Butta Love,1997-09-30,1998,Nighnties,Autumn
I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,1997-02-02,1998,Nighnties,Winter
Power of Love,1997-05-27,1997,Nighnties,Spring
My Love Is the Shhh!,1997-09-12,1998,Nighnties,Autumn
Tubthumping,1997-09-01,1998,Nighnties,Autumn
Truly Madly Deeply,1997-03-04,1998,Nighnties,Spring
Jailhouse Rock,1997-07-15,1997,Nighnties,Summer
Footloose,1997-03-25,1997,Nighnties,Spring
Something About The Way You Look Tonight - Edit Version,1997-01-01,1998,Nighnties,Winter
Nice & Slow - Radio Version,1997-09-16,1998,Nighnties,Autumn
Heaven,1997-03-14,1998,Nighnties,Spring
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,1997-03-04,1999,Nighnties,Spring
Too Close,1997-09-30,1998,Nighnties,Autumn
Barbie Girl,1997-01-01,1997,Nighnties,Winter
All My Life,1997-01-01,1998,Nighnties,Winter
Love Me Tonight,1997-10-13,1997,Nighnties,Autumn
Never Ever,1997-03-07,1998,Nighnties,Spring
Gettin' Jiggy Wit It,1997-10-03,1998,Nighnties,Autumn
I Still Love You,1997-09-30,1998,Nighnties,Autumn
Together Again,1997-10-07,1997,Nighnties,Autumn
Together Again,1997-10-07,1998,Nighnties,Autumn
All The Things (Your Man Won't Do),1997-09-23,1997,Nighnties,Autumn
Big Daddy,1997-01-01,1997,Nighnties,Winter
Been Around the World (feat. The Notorious B.I.G. & Mase),1997-05-12,1998,Nighnties,Spring
Are You Lonesome Tonight?,1997-07-15,1997,Nighnties,Summer
Make Me Lose Control,1997-05-09,1997,Nighnties,Spring
MMMBop,1997-01-01,1997,Nighnties,Winter
I'm Looking Over A Four Leaf Clover (Jazz Samba),1997-01-01,1997,Nighnties,Winter
(God Must Have Spent) A Little More Time On You - Remix,1997-08-14,1999,Nighnties,Summer
I Do,1997-01-01,1998,Nighnties,Winter
That Don't Impress Me Much,1997-11-04,1999,Nighnties,Autumn
Do For Love,1997-01-01,1998,Nighnties,Winter
Love Child,1997-10-07,1997,Nighnties,Autumn
I Want You Back - Radio Edit,1997-05-06,1998,Nighnties,Spring
C U When U Get There,1997-08-26,1997,Nighnties,Summer
Yes We Can Can,1997-01-01,1997,Nighnties,Winter
Hypnotize - 2014 Remaster,1997-03-04,1997,Nighnties,Spring
Swing My Way,1997-10-27,1998,Nighnties,Autumn
Jungle Fever,1997-01-01,1997,Nighnties,Winter
Adia,1997-08-29,1998,Nighnties,Summer
They Don't Know,1997-04-21,1998,Nighnties,Spring
Butta Love,1997-09-30,1997,Nighnties,Autumn
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,1997-03-04,1998,Nighnties,Spring
Kiss Me,1997-11-22,1999,Nighnties,Autumn
How's It Going to Be,1997-04-08,1998,Nighnties,Spring
I Don't Know How To Love Him,1997-01-01,1997,Nighnties,Winter
Gone Till November (feat. The New York Philharmonic Orchestra),1997-06-24,1998,Nighnties,Summer
"Not Tonight (feat. Da Brat, Left Eye, Missy ""Misdemeanor"" Elliott and Angie Martinez) - Remix",1997-06-30,1997,Nighnties,Summer
I Get Lonely,1997-10-07,1998,Nighnties,Autumn
The Purple People Eater,1997-01-01,1997,Nighnties,Winter
Ooh Aah...Just a Little Bit - Motiv8 Radio Edit,1997-03-24,1997,Nighnties,Spring
Too Much,1997-01-01,1998,Nighnties,Winter
I Want You,1997-03-04,1997,Nighnties,Spring
Don't Let Go (Love),1997-06-17,1997,Nighnties,Summer
Man! I Feel Like A Woman!,1997-11-04,1999,Nighnties,Autumn
Jumper - 1998 Edit,1997-04-08,1999,Nighnties,Spring
Mama Didn't Lie,1997-08-26,1997,Nighnties,Summer
I Belong To You (Every Time I See Your Face),1997-03-04,1997,Nighnties,Spring
Keep Coming Back,1997-01-01,1997,Nighnties,Winter
4 Seasons Of Loneliness,1997-03-23,1997,Nighnties,Spring
Honey,1997-09-16,1997,Nighnties,Autumn
Stranger on the Shore,1997-07-14,1997,Nighnties,Summer
Father,1997-01-01,1998,Nighnties,Winter
Spice Up Your Life,1997-01-01,1998,Nighnties,Winter
Kiss The Rain,1997-01-01,1998,Nighnties,Winter
(God Must Have Spent) A Little More Time On You - Remix,1997-07-10,1999,Nighnties,Summer
4 Seasons Of Loneliness,1997-03-23,1998,Nighnties,Spring
Bitter Sweet Symphony,1997-09-29,1998,Nighnties,Autumn
"My Heart Will Go On - Love Theme from ""Titanic""",1997-11-14,1998,Nighnties,Autumn
Dangerous,1997-06-12,1998,Nighnties,Summer
Breakdown Dead Ahead,1997-05-19,1997,Nighnties,Spring
You Should Be Mine (Don't Waste Your Time),1997-01-01,1997,Nighnties,Winter
Make 'Em Say Ugh,1997-04-05,1998,Nighnties,Spring
I'm Looking Over A Four Leaf Clover (Jazz Samba),1997-01-01,1997,Nighnties,Winter
Semi-Charmed Life,1997-04-08,1998,Nighnties,Spring
Bitch,1997-01-01,1997,Nighnties,Winter
All For You,1997-01-01,1998,Nighnties,Winter
Somebody's Baby,1997-01-01,1997,Nighnties,Winter
Powder Your Face With Sunshine,1998-01-01,1998,Nighnties,Winter
Sweet Lady,1998-08-31,1999,Nighnties,Summer
Quarter To Three,1998-01-01,1998,Nighnties,Winter
My Boyfriend's Back,1998-01-01,1998,Nighnties,Winter
"I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack",1998-08-18,1998,Nighnties,Summer
For You I Will,1998-07-13,1998,Nighnties,Summer
Nobody's Supposed to Be Here,1998-09-17,1998,Nighnties,Autumn
Crush On You,1998-01-01,1998,Nighnties,Winter
The Safety Dance,1998-01-01,1998,Nighnties,Winter
Are You Jimmy Ray?,1998-03-10,1998,Nighnties,Spring
Trippin',1998-10-27,1999,Nighnties,Autumn
When She Cries,1998-05-01,1998,Nighnties,Spring
The Wild Boys,1998-11-09,1998,Nighnties,Autumn
Because Of You,1998-01-01,1998,Nighnties,Winter
Someday,1998-12-23,1999,Nighnties,Winter
Only God Knows Why,1998-08-05,2000,Nighnties,Summer
I Do (Cherish You),1998-01-01,1999,Nighnties,Winter
Broadway,1998-09-11,2000,Nighnties,Autumn
Friend Of Mine - Remix,1998-01-01,1998,Nighnties,Winter
Believe,1998-06-11,1999,Nighnties,Summer
Iris,1998-09-11,1999,Nighnties,Autumn
My Love Is Your Love,1998-11-17,1999,Nighnties,Autumn
Black Balloon,1998-09-11,1999,Nighnties,Autumn
Almost Doesn't Count,1998-05-29,1999,Nighnties,Spring
Anywhere,1998-04-13,1999,Nighnties,Spring
Just a Dream,1998-01-01,1998,Nighnties,Winter
Ex-Factor,1998-08-25,1999,Nighnties,Summer
Still Not a Player (feat. Joe) - Radio Version,1998-04-28,1998,Nighnties,Spring
To Each His Own,1998-06-16,1998,Nighnties,Summer
This Kiss,1998-04-10,1998,Nighnties,Spring
Daydreamin',1998-10-23,1998,Nighnties,Autumn
Gotta Travel On,1998-04-14,1998,Nighnties,Spring
Exodus,1998-01-01,1998,Nighnties,Winter
Heartbreak Hotel (feat. Faith Evans & Kelly Price),1998-11-17,1999,Nighnties,Autumn
Nobody's Supposed to Be Here,1998-09-17,1999,Nighnties,Autumn
Every Morning,1998-12-23,1999,Nighnties,Winter
Have You Ever,1998-05-29,1999,Nighnties,Spring
Angel of Mine,1998-07-13,1999,Nighnties,Summer
Venus in Blue Jeans,1998-01-01,1998,Nighnties,Winter
When a Woman's Fed Up,1998-11-08,1999,Nighnties,Autumn
Westside,1998-11-03,1998,Nighnties,Autumn
Cruel Summer,1998-01-21,1998,Nighnties,Winter
Invisible Man,1998-01-01,1998,Nighnties,Winter
The Gypsy,1998-06-16,1998,Nighnties,Summer
"I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992",1998-11-17,1998,Nighnties,Autumn
Fly Away,1998-05-12,1999,Nighnties,Spring
The Arms of the One Who Loves You,1998-05-01,1998,Nighnties,Spring
Golden Earrings,1998-01-01,1998,Nighnties,Winter
I Still Believe,1998-11-17,1999,Nighnties,Autumn
Because Of You,1998-01-01,1999,Nighnties,Winter
The Hardest Thing,1998-01-01,1999,Nighnties,Winter
Take Your Time (Do It Right),1998-02-28,1998,Nighnties,Winter
Love's Theme,1998-01-15,1998,Nighnties,Winter
Say It,1998-04-16,1998,Nighnties,Spring
The First Night,1998-07-13,1998,Nighnties,Summer
Meet Virginia,1998-02-24,2000,Nighnties,Winter
"Brown Sugar - Live At The Jazz Cafe, London/1995",1998-06-30,1998,Nighnties,Summer
Save Tonight,1998-07-13,1999,Nighnties,Summer
"Twist, Twist Senora",1998-01-01,1998,Nighnties,Winter
What's It Gonna Be?! (feat. Janet Jackson),1998-07-12,1999,Nighnties,Summer
C’est la vie,1998-03-10,1998,Nighnties,Spring
Back That Azz Up,1998-01-01,1999,Nighnties,Winter
"Money, Power & Respect (feat. DMX & Lil' Kim)",1998-01-13,1998,Nighnties,Winter
Snowbird,1998-01-01,1998,Nighnties,Winter
Golden Earrings,1998-01-01,1998,Nighnties,Winter
Patricia,1998-10-27,1998,Nighnties,Autumn
Hot Boyz,1998-03-31,2000,Nighnties,Spring
What About Us (Remix) [feat. Black Rob],1998-10-27,1998,Nighnties,Autumn
Doo Wop (That Thing),1998-08-25,1999,Nighnties,Summer
Make It Hot (feat. Missy Elliott & Mocha),1998-08-14,1998,Nighnties,Summer
A Little Bird Told Me,1998-01-01,1998,Nighnties,Winter
Secret Agent Man,1998-01-01,1998,Nighnties,Winter
Don't Let The Rain Come Down (Crooked Little Man),1998-03-17,1998,Nighnties,Spring
Body Bumpin' (Yippie-Yi-Yo),1998-03-24,1998,Nighnties,Spring
Slide,1998-09-11,1999,Nighnties,Autumn
Ray of Light,1998-03-03,1998,Nighnties,Spring
Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),1998-10-03,1998,Nighnties,Autumn
A Rose Is Still a Rose,1998-03-10,1998,Nighnties,Spring
When the Lights Go Out - Radio Edit,1998-06-22,1998,Nighnties,Summer
Out Of My Head,1998-01-01,1999,Nighnties,Winter
I Was Made for Dancin',1998-07-22,1998,Nighnties,Summer
California Love - Original Version,1998-01-01,1998,Nighnties,Winter
One Week,1998-07-07,1998,Nighnties,Summer
Can I Get A...,1998-11-29,1999,Nighnties,Autumn
Rockin' Pneumonia And The Boogie Woogie Flu,1998-01-01,1998,Nighnties,Winter
I Believe I Can Fly,1998-11-08,1998,Nighnties,Autumn
How Deep Is Your Love,1998-01-01,1998,Nighnties,Winter
Manana (Is Soon Enough For Me),1998-01-01,1998,Nighnties,Winter
It's Not Right But It's Okay,1998-11-17,1999,Nighnties,Autumn
Dear Lady Twist,1998-01-01,1998,Nighnties,Winter
Funny Face,1998-12-29,1998,Nighnties,Winter
Lullaby,1998-09-15,1999,Nighnties,Autumn
These Are The Times,1998-01-01,1999,Nighnties,Winter
What It's Like,1998-09-08,1999,Nighnties,Autumn
"Oh, What A Night",1998-01-01,1998,Nighnties,Winter
Hard Knock Life (Ghetto Anthem),1998-11-29,1999,Nighnties,Autumn
"Go, Jimmy, Go",1998-01-01,1998,Nighnties,Winter
Beauty,1998-01-01,1998,Nighnties,Winter
Love Like This,1998-06-13,1999,Nighnties,Summer
"No, No, No Pt. 2 (feat. Wyclef Jean)",1998-02-17,1998,Nighnties,Winter
A Cowboy's Work Is Never Done,1998-01-01,1998,Nighnties,Winter
Looking Through Your Eyes - from the motion picture Quest For Camelot,1998-05-05,1998,Nighnties,Spring
I Fought the Law - Single Version,1998-05-10,1998,Nighnties,Spring
Careless Whisper,1998-11-09,1998,Nighnties,Autumn
School Is Out,1998-01-01,1998,Nighnties,Winter
I Wanna Love You Forever,1999-11-16,2000,Nighnties,Autumn
Higher,1999-01-01,2000,Nighnties,Winter
William Tell Overture,1999-06-14,1999,Nighnties,Summer
Otherside,1999-06-08,2000,Nighnties,Summer
All The Small Things,1999-06-01,2000,Nighnties,Summer
Beauty Is Only Skin Deep - Mono SIngle,1999-08-31,1999,Nighnties,Summer
24/7,1999-10-12,2000,Nighnties,Autumn
Take A Picture,1999-08-24,2000,Nighnties,Summer
Bring It All to Me (feat. *NSYNC),1999-05-28,2000,Nighnties,Spring
Pony,1999-10-08,1999,Nighnties,Autumn
Please Remember Me,1999-05-04,1999,Nighnties,Spring
Faded Pictures,1999-01-01,1999,Nighnties,Winter
Breathe,1999-11-09,2000,Nighnties,Autumn
Purest of Pain (A Puro Dolor) - Martinee's Radio (Spanish),1999-05-18,2000,Nighnties,Spring
Thank You,1999-06-01,2001,Nighnties,Summer
Misled,1999-03-01,1999,Nighnties,Spring
Scar Tissue,1999-06-08,1999,Nighnties,Summer
Change the World,1999-10-12,1999,Nighnties,Autumn
Band of Gold (with Ray Conniff & His Orchestra & Chorus),1999-06-13,1999,Nighnties,Summer
I Turn to You,1999-04-13,2000,Nighnties,Spring
Where My Girls At,1999-01-01,1999,Nighnties,Winter
Angel Eyes - Album Edit,1999-07-27,1999,Nighnties,Summer
All Star,1999-06-08,1999,Nighnties,Summer
Boogie On Reggae Woman,1999-11-23,1999,Nighnties,Autumn
Smooth (feat. Rob Thomas),1999-01-05,1999,Nighnties,Winter
My Best Friend,1999-05-04,2000,Nighnties,Spring
Pony,1999-10-08,1999,Nighnties,Autumn
"Take My Breath Away - Love Theme from ""Top Gun""",1999-01-01,1999,Nighnties,Winter
Stay The Same,1999-03-16,1999,Nighnties,Spring
I Just Called To Say I Love You,1999-11-23,1999,Nighnties,Autumn
Chante's Got A Man,1999-01-01,1999,Nighnties,Winter
She's All I Ever Had,1999-04-11,1999,Nighnties,Spring
Sincerely,1999-01-01,1999,Nighnties,Winter
Big Pimpin',1999-12-28,2000,Nighnties,Winter
Last Kiss,1999-05-08,1999,Nighnties,Spring
Wild Wild West (feat. Dru Hill & Kool Mo Dee) - Album Version With Intro,1999-11-16,1999,Nighnties,Autumn
Smooth (feat. Rob Thomas),1999-06-15,2000,Nighnties,Summer
Swear It Again - Radio Edit,1999-11-01,2000,Nighnties,Autumn
Thong Song,1999-01-01,2000,Nighnties,Winter
"Bailamos - From ""Wild Wild West""",1999-01-01,1999,Nighnties,Winter
Come on over Baby (All I Want Is You) - Radio Version,1999-05-16,2000,Nighnties,Spring
Girl On TV,1999-08-10,2000,Nighnties,Summer
If You,1999-04-08,1999,Nighnties,Spring
MyBabyDaddy,1999-09-01,1999,Nighnties,Autumn
I Will Follow Him (Chariot),1999-11-09,1999,Nighnties,Autumn
Show Me the Meaning of Being Lonely,1999-05-18,2000,Nighnties,Spring
I Knew I Loved You,1999-11-09,2000,Nighnties,Autumn
Write This Down,1999-01-01,1999,Nighnties,Winter
"Bills, Bills, Bills",1999-07-27,1999,Nighnties,Summer
Where I Wanna Be,1999-05-29,2000,Nighnties,Spring
Everything You Want,1999-06-14,2000,Nighnties,Summer
"The Good, the Bad and the Ugly - From ""The Good, the Bad and the Ugly""",1999-08-24,1999,Nighnties,Summer
From the Bottom of My Broken Heart,1999-01-12,2000,Nighnties,Winter
Who Dat,1999-01-01,1999,Nighnties,Winter
Lay Down (Candles In The Rain) - Long Version,1999-07-01,1999,Nighnties,Summer
What About Now,1999-06-05,2000,Nighnties,Summer
How Forever Feels,1999-02-26,1999,Nighnties,Winter
Sometimes,1999-01-12,1999,Nighnties,Winter
Incomplete,1999-01-01,2000,Nighnties,Winter
What a Girl Wants,1999-03-08,2000,Nighnties,Spring
With Arms Wide Open,1999-01-01,2001,Nighnties,Winter
Livin' la Vida Loca,1999-05-13,1999,Nighnties,Spring
Surrender,1999-09-28,1999,Nighnties,Autumn
I Want It That Way,1999-05-18,1999,Nighnties,Spring
I Don't Want To Miss A Thing,1999-01-01,1999,Nighnties,Winter
Sugartime,1999-01-01,1999,Nighnties,Winter
No Other Love (with Henri René & His Orchestra and Chorus),1999-09-28,1999,Nighnties,Autumn
"Up Where We Belong - From ""An Officer And A Gentleman""",1999-08-17,1999,Nighnties,Summer
The Way You Love Me,1999-11-09,2000,Nighnties,Autumn
Spend My Life With You,1999-02-25,1999,Nighnties,Winter
She's so High,1999-02-23,1999,Nighnties,Winter
If You Had My Love,1999-06-01,1999,Nighnties,Summer
Butterfly,1999-11-04,2001,Nighnties,Autumn
Giving It Up For Your Love,1999-01-01,1999,Nighnties,Winter
Forgot About Dre,1999-11-16,2000,Nighnties,Autumn
Steal My Sunshine,1999-05-25,1999,Nighnties,Spring
Give It To You,1999-05-25,1999,Nighnties,Spring
Tell Me It's Real,1999-06-22,1999,Nighnties,Summer
The Letter - Single Version,1999-08-17,1999,Nighnties,Summer
Maria Maria (feat. The Product G&B),1999-06-15,2000,Nighnties,Summer
Back At One,1999-09-21,2000,Nighnties,Autumn
So Anxious,1999-03-15,1999,Nighnties,Spring
Desert Rose,1999-01-01,2000,Nighnties,Winter
You Do,1999-01-01,1999,Nighnties,Winter
(She's) Sexy + 17 - Single Edit/24 Bit Remastered 99/Digital Remaster/1999,1999-01-01,1999,Nighnties,Winter
Some Kind Of Wonderful - Remastered 1999,1999-01-01,1999,Nighnties,Winter
The Next Episode,1999-11-16,2000,Nighnties,Autumn
Pac-Man Fever,1999-05-01,1999,Nighnties,Spring
Beach Baby,1999-05-05,1999,Nighnties,Spring
With Arms Wide Open,1999-01-01,2000,Nighnties,Winter
The Way You Love Me,1999-11-09,2001,Nighnties,Autumn
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,1999-05-13,2000,Nighnties,Spring
Happily Ever After,1999-01-01,1999,Nighnties,Winter
Heartbreaker (feat. Jay-Z),1999-11-02,1999,Nighnties,Autumn
How Do You Like Me Now?!,1999-01-01,2000,Nighnties,Winter
Crash and Burn,1999-11-09,2000,Nighnties,Autumn
Love You Down,1999-04-05,1999,Nighnties,Spring
Genie In a Bottle,1999-08-14,1999,Nighnties,Summer
That's the Way It Is,1999-06-21,2000,Nighnties,Summer
You Shouldn't Kiss Me Like This,1999-01-01,2001,Nighnties,Winter
Unpretty,1999-02-23,1999,Nighnties,Winter
You Sang To Me,1999-09-28,2000,Nighnties,Autumn
Let Me In,1999-10-04,1999,Nighnties,Autumn
Diane,1999-01-01,1999,Nighnties,Winter
...Baby One More Time,1999-01-12,1999,Nighnties,Winter
Never Let You Go - 2008 Remaster,1999-11-23,2000,Nighnties,Autumn
Amazed,1999-07-05,2000,Nighnties,Summer
Lovergirl,1999-10-08,1999,Nighnties,Autumn
No Scrubs,1999-02-23,1999,Nighnties,Winter
Amazed,1999-07-12,1999,Nighnties,Summer
"Jumpin', Jumpin'",1999-07-27,2000,Nighnties,Summer
Better Days (And the Bottom Drops Out),1999-02-26,1999,Nighnties,Winter
"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",1999-05-29,2000,Nighnties,Spring
Summer Girls,1999-08-10,1999,Nighnties,Summer
Back At One,1999-09-21,1999,Nighnties,Autumn
Time After Time,1999-03-06,1999,Nighnties,Spring
Say My Name,1999-07-27,2000,Nighnties,Summer
Then The Morning Comes,1999-06-08,2000,Nighnties,Summer
Waiting for Tonight,1999-06-01,2000,Nighnties,Summer
Be With You,1999-11-23,2000,Nighnties,Autumn
The Happy Whistler,2000-06-06,2000,new millennium,Summer
I Want To Hold Your Hand - Remastered 2015,2000-11-13,2000,new millennium,Autumn
Ride Wit Me,2000-06-27,2001,new millennium,Summer
Daydream Believer,2000-01-01,2000,new millennium,Winter
Never Had A Dream Come True,2000-06-12,2001,new millennium,Summer
He Can't Love U,2000-01-18,2000,new millennium,Winter
(It’s Just) The Way That You Love Me - Single Version,2000-01-01,2000,new millennium,Winter
The Best Day,2000-01-01,2000,new millennium,Winter
Who I Am,2000-02-27,2001,new millennium,Winter
Love Me Warm And Tender,2000-10-03,2000,new millennium,Autumn
Give Me Just One Night (Una Noche),2000-09-26,2000,new millennium,Autumn
"Surrender To Me - From ""Tequila Sunrise"" Soundtrack / Remastered",2000-01-01,2000,new millennium,Winter
(A Hubba-Hubba-Hubba) Dig You Later,2000-07-11,2000,new millennium,Summer
Crazy for This Girl,2000-08-29,2001,new millennium,Summer
It's A Great Day To Be Alive,2000-10-01,2001,new millennium,Autumn
Here I Am (Come And Take Me),2000-05-18,2000,new millennium,Spring
I Just Wanna Love U (Give It 2 Me),2000-10-31,2001,new millennium,Autumn
I Wish,2000-11-07,2001,new millennium,Autumn
Black Is Black,2000-07-10,2000,new millennium,Summer
Crazy,2000-01-01,2001,new millennium,Winter
I Hope You Dance,2000-01-01,2001,new millennium,Winter
Papa Was A Rollin' Stone - Single Version,2000-01-11,2000,new millennium,Winter
Absolutely (Story of a Girl) - Radio Mix,2000-05-16,2000,new millennium,Spring
Ms. Jackson,2000-10-31,2001,new millennium,Autumn
Stranger in My House,2000-10-01,2001,new millennium,Autumn
How Soon,2000-06-19,2000,new millennium,Summer
Hemorrhage (In My Hands),2000-09-19,2001,new millennium,Autumn
Kryptonite,2000-08-22,2001,new millennium,Summer
Oops!...I Did It Again,2000-05-16,2000,new millennium,Spring
Here We Go Again! - Radio Edit,2000-01-01,2000,new millennium,Winter
Love,2000-01-01,2001,new millennium,Winter
Here's to the Night,2000-02-05,2001,new millennium,Winter
No More (Baby I'ma Do Right),2000-11-06,2001,new millennium,Autumn
Wifey - Club Mix/Dirty Version,2000-06-20,2000,new millennium,Summer
The Gypsy,2000-01-01,2000,new millennium,Winter
Wonderful,2000-01-01,2000,new millennium,Winter
Music,2000-09-19,2000,new millennium,Autumn
Country Grammar (Hot Shit),2000-06-27,2000,new millennium,Summer
If You're Gone,2000-05-23,2001,new millennium,Spring
Ole Buttermilk Sky,2000-05-09,2000,new millennium,Spring
It's Gonna Be Me,2000-03-21,2002,new millennium,Spring
E.I.,2000-06-27,2001,new millennium,Summer
Bounce With Me (feat. Xscape) - Edited Album Version,2000-09-26,2000,new millennium,Autumn
Hold What You've Got,2000-11-06,2000,new millennium,Autumn
Separated,2000-05-09,2000,new millennium,Spring
Boogie Down,2000-01-01,2000,new millennium,Winter
She Loves You - Mono / Remastered,2000-11-13,2000,new millennium,Autumn
Case Of The Ex (Whatcha Gonna Do),2000-01-01,2001,new millennium,Winter
Give It 2 You,2000-11-07,2000,new millennium,Autumn
Bye Bye Bye,2000-03-21,2000,new millennium,Spring
Looking For A New Love - Radio Edit,2000-01-01,2000,new millennium,Winter
Stutter (feat. Mystikal) - Double Take Remix,2000-04-18,2001,new millennium,Spring
"So Fresh, So Clean",2000-10-31,2001,new millennium,Autumn
Working in the Coal Mine,2000-11-28,2000,new millennium,Autumn
I Wish I Didn't Love You So,2000-02-14,2000,new millennium,Winter
Yes!,2000-06-14,2000,new millennium,Summer
Hanging By A Moment,2000-03-15,2001,new millennium,Spring
Bent,2000-05-23,2000,new millennium,Spring
Angel,2000-08-08,2001,new millennium,Summer
Hey Jude - Remastered 2015,2000-11-13,2000,new millennium,Autumn
Be Like That,2000-04-17,2001,new millennium,Spring
We Can Work It Out - Remastered 2015,2000-11-13,2000,new millennium,Autumn
On a Slow Boat to China,2000-05-09,2000,new millennium,Spring
Ole Buttermilk Sky,2000-05-09,2000,new millennium,Spring
So Into You,2000-01-01,2000,new millennium,Winter
How Soon,2000-06-09,2000,new millennium,Summer
Shake Ya Ass,2000-09-26,2000,new millennium,Autumn
The Old Lamp-Lighter,2000-05-09,2000,new millennium,Spring
Shackles (Praise You),2000-05-02,2000,new millennium,Spring
Put Your Head On My Shoulder,2000-10-03,2000,new millennium,Autumn
"Tonight My Love, Tonight",2000-10-03,2000,new millennium,Autumn
Kryptonite,2000-03-14,2000,new millennium,Spring
Only Time,2000-11-11,2001,new millennium,Autumn
Girlfriend - Single Version,2000-01-01,2000,new millennium,Winter
I Wish,2000-04-18,2000,new millennium,Spring
