Song,Artist(s) Genres,Genres count,Weight,total weight of genres
Mouth,,0,0,0
Love Me Harder (Originally Performed by Ariana Grande and The Weeknd) [Karaoke Version],,0,0,0
Here I Am (Come and Take Me),"{' classic soul', 'soul', ' soul blues', ' southern soul', ' funk', ' memphis soul'}",6,1079,6474
Call Me When You're Sober,{'alternative metal'},1,23,23
"Honey, I'm Good.","{' neo mellow', 'post-teen pop'}",2,72,144
Wonderwall - Remastered,"{' madchester', 'britpop', ' permanent wave', ' rock', ' beatlesque'}",5,893,4465
Wild Thoughts (feat. Rihanna & Bryson Tiller),"{'pop', ' urban contemporary', ' r&b', ' rap', ' kentucky hip hop', ' hip hop', ' pop rap', ' miami hip hop', ' barbadian pop'}",9,3431,30879
One Hell Of A Woman,"{'country rock', ' classic country pop'}",2,137,274
Sara,"{' soft rock', ' classic rock', ' album rock', 'rock', ' yacht rock'}",5,2296,11480
Dirt Road Anthem,"{' modern country rock', 'country road', ' country', ' contemporary country'}",4,498,1992
Lonely Night (Angel Face),"{' mellow gold', 'soft rock', ' yacht rock'}",3,1114,3342
Unchained Melody,"{' rock-and-roll', 'folk rock', ' brill building pop', ' adult standards', ' rockabilly'}",5,1261,6305
If I Die Young,"{' country', ' contemporary country', ' country dawn', 'country road'}",4,470,1880
Norman,{'deep adult standards'},1,52,52
Don’t Disturb This Groove (Redux),"{'p funk', ' urban contemporary', ' post-disco', ' funk', ' quiet storm', ' new jack swing'}",6,1373,8238
Good Enough,"{' urban contemporary', ' r&b', ' new jack swing', 'contemporary r&b'}",4,1636,6544
If You're Gone,"{'neo mellow', ' pop rock', ' post-grunge'}",3,275,825
Here Without You,"{' alternative metal', ' rock', ' nu metal', 'post-grunge'}",4,771,3084
Tired of Being Alone,"{' classic soul', 'soul', ' soul blues', ' southern soul', ' funk', ' memphis soul'}",6,1079,6474
I'll Always Love You (In the Style of Taylor Dayne) [Karaoke Version],{'karaoke'},1,177,177
Jealous - Instrumental,{'noise pop'},1,1,1
Express Yourself,,0,0,0
Don’t Matter (In The Style Of Akon),{'karaoke'},1,177,177
I Believe I Can Fly,,0,0,0
Want to Want Me,"{' dance pop', 'pop'}",2,1142,2284
Treat Her Right,,0,0,0
You're Still The One,"{' canadian country', ' canadian pop', ' country', 'country dawn', ' contemporary country'}",5,561,2805
Rhythm of the Rain,{'brill building pop'},1,8,8
Say Say Say (feat. Paul McCartney & Michael Jackson),"{' pop dance', ' r&b', 'soul', ' rock', ' tropical house', ' classic rock', ' edm', ' beatlesque', ' pop'}",9,2956,26604
Miss You Like Crazy,"{' quiet storm', ' vocal jazz', 'disco', ' adult standards', ' soul'}",5,1158,5790
My Angel Baby,,0,0,0
Bad Medicine,"{'glam metal', 'rock', ' glam metal', ' rock'}",4,1028,4112
Lights Down Low,{'viral pop'},1,20,20
Dear Lady Twist,"{' rhythm and blues', 'doo-wop'}",2,172,344
Cast Your Fate to the Wind,{'easy listening'},1,88,88
MMMBop,{'boy band'},1,22,22
Heard It in a Love Song,"{' soft rock', ' classic rock', ' southern rock', ' album rock', ' mellow gold', 'blues rock', ' country rock', ' singer-songwriter', ' hard rock'}",9,3736,33624
Method of Modern Love,"{'heartland rock', ' soft rock', ' rock', ' classic rock', ' album rock', ' mellow gold', ' singer-songwriter', ' yacht rock'}",8,4208,33664
Holidae In,"{' dirty south rap', ' trap', ' r&b', ' rap', 'gangster rap', ' crunk', ' hip hop', ' g funk', ' hip pop', ' southern hip hop', ' west coast rap', ' pop rap', ' atl hip hop', ' old school atlanta hip hop', ' dance pop'}",15,4093,61395
A Sky Full of Stars,"{'permanent wave', ' permanent wave', ' pop', 'pop'}",4,1386,5544
What It's Like,,0,0,0
Nobody Told Me - Remastered 2010,"{'beatlesque', ' classic rock', ' rock'}",3,1302,3906
Woman,"{' british invasion', 'beatlesque', ' british blues'}",3,175,525
I Get Around (Mono),"{' psychedelic rock', ' rock', ' folk rock', 'baroque pop', ' baroque pop', 'folk rock', ' sunshine pop', ' classic rock', ' mellow gold'}",9,2725,24525
"Woman, Woman","{' rock-and-roll', ' folk rock', ' bubblegum pop', ' rockabilly', ' merseybeat', ' soft rock', 'folk rock', ' mellow gold', 'rock-and-roll', ' country rock', ' adult standards'}",11,3571,39281
Draggin' the Line,"{' psychedelic rock', ' classic garage rock', ' rock-and-roll', 'folk rock', ' classic rock', ' mellow gold', ' folk rock', 'rock-and-roll', ' country rock', ' bubblegum pop'}",10,2955,29550
One Call Away,"{'viral pop', ' pop'}",2,598,1196
(God Must Have Spent) A Little More Time On You - Remix,"{' boy band', ' pop', 'dance pop'}",3,1035,3105
Canadian Sunset - Single Version,,0,0,0
My Love (feat. T.I.),"{' dirty south rap', ' trap', ' rap', 'gangster rap', ' hip hop', ' southern hip hop', ' pop rap', ' atl hip hop', ' pop', ' dance pop'}",10,3695,36950
Da' Dip,"{' atl hip hop', ' atlanta bass', 'miami bass'}",3,258,774
Down 4 U,"{' urban contemporary', ' r&b', ' queens hip hop', ' rap', 'gangster rap', ' east coast hip hop', ' hip hop', ' contemporary r&b', ' hip pop', ' pop rap', ' dance pop'}",11,4039,44429
Honky Tonk Women,"{' rock', ' classic rock', ' british invasion', ' album rock', 'rock', 'classic rock'}",6,2141,12846
Come on over Baby (All I Want Is You) - Radio Version,"{' dance pop', ' urban contemporary', ' r&b', ' rap', 'gangster rap', 'dance pop', ' east coast hip hop', ' hip hop', ' hip pop', ' pop rap', ' pop', ' trap queen', ' southern hip hop'}",13,4910,63830
Get It On Tonite,"{' new jack swing', 'contemporary r&b', ' urban contemporary', ' r&b'}",4,1636,6544
Strut,"{' synthpop', ' new romantic', 'new wave pop', ' soft rock', ' mellow gold', ' minneapolis sound'}",6,2286,13716
Dirty Water,"{'classic garage rock', ' protopunk'}",2,58,116
Don't Take It Personal (Just One of Dem Days),"{' urban contemporary', ' r&b', ' contemporary r&b', 'hip pop'}",4,1718,6872
Get Right,"{'urban contemporary', ' pop', ' dance pop'}",3,1206,3618
Close To You,"{' lovers rock', 'reggae', ' reggae fusion'}",3,27,81
Better Now,"{' rap', ' dfw rap', ' melodic rap', 'pop'}",4,1253,5012
Hold On,"{' urban contemporary', ' r&b', ' contemporary r&b', ' new jack swing', 'hip pop', ' girl group'}",6,2037,12222
Freaky Friday (feat. Chris Brown),"{' r&b', ' rap', ' indie pop rap', 'comedy rap', ' pop rap'}",5,1675,8375
"Managua, Nicaragua",,0,0,0
In The House Of Stone And Light,,0,0,0
Cowboy Take Me Away - In the Style of Dixie Chicks (Karaoke Version Teaching Vocal),{'karaoke'},1,177,177
It's Gonna Be Me,"{' boy band', ' pop', 'dance pop'}",3,1035,3105
Careless Whisper,{'new wave pop'},1,302,302
The Third Man Theme ( Studio Version),{'zither'},1,1,1
My Immortal,{'alternative metal'},1,23,23
(They Long To Be) Close To You,{'surf music'},1,13,13
Raindrops Keep Fallin' on My Head - Rerecorded,"{' soft rock', 'folk rock', ' adult standards', ' mellow gold', ' classic country pop', ' bubblegum pop'}",6,2408,14448
Think,"{' classic soul', 'soul', ' southern soul', ' jazz blues', 'classic soul', ' memphis soul', ' vocal jazz', ' soul'}",8,1339,10712
Hypnotize - 2014 Remaster,"{' rap', 'gangster rap', ' east coast hip hop', ' hardcore hip hop', ' hip hop'}",5,1479,7395
Axel F,"{' synthpop', ' german soundtrack', 'synthesizer'}",3,201,603
Sweet Inspiration,"{' southern soul', 'classic soul'}",2,236,472
Creep,"{' urban contemporary', ' r&b', ' contemporary r&b', 'hip pop', ' atl hip hop', ' dance pop', ' girl group'}",7,2612,18284
Take on Me,"{' synthpop', ' new romantic', 'new wave pop', ' soft rock', ' new wave', ' permanent wave'}",6,1891,11346
Here We Go,"{' hip hop', 'pittsburgh rap', ' rap'}",3,1090,3270
Back To Life,"{'new wave pop', ' british soul'}",2,321,642
Wildwood Weed,"{'classic country pop', ' bubblegum pop'}",2,184,368
Better Together,"{'contemporary country', ' country'}",2,267,534
2 Become 1,"{' pop', ' dance pop', 'girl group'}",3,1148,3444
Heat Waves,"{'pov: indie', ' indietronica', ' modern rock', ' gauze pop', ' shiver pop'}",5,114,570
Kissing a Fool - Remastered,{'new wave pop'},1,302,302
Private Eyes,"{'heartland rock', ' soft rock', ' rock', ' classic rock', ' album rock', ' mellow gold', ' singer-songwriter', ' yacht rock'}",8,4208,33664
Blue Monday,"{' rock-and-roll', ' louisiana blues', ' new orleans blues', 'rockabilly', ' piano blues', 'rock-and-roll', ' rockabilly'}",7,806,5642
Save Tonight,{'pop rock'},1,41,41
It's A Mistake,"{'heartland rock', ' new romantic', ' new wave', ' soft rock', ' rock', ' classic rock', ' australian rock', ' album rock', ' mellow gold', ' new wave pop', ' hard rock'}",11,4557,50127
Write This Down,"{' country', 'contemporary country', ' country road'}",3,353,1059
American Woman,"{'heartland rock', ' soft rock', ' rock', ' classic rock', ' classic canadian rock', ' album rock', ' mellow gold', ' folk rock', ' singer-songwriter', ' country rock', ' hard rock'}",11,4861,53471
Really Want to Know You - Remastered Version,"{' soft rock', ' classic rock', ' southern rock', ' album rock', 'country rock', ' mellow gold', ' yacht rock'}",7,2963,20741
Step In the Name of Love - Remix,,0,0,0
War,"{' classic soul', 'soul', ' northern soul', ' southern soul', ' motown'}",5,907,4535
Twisted,"{' urban contemporary', ' r&b', ' new jack swing', 'contemporary r&b'}",4,1636,6544
Little Town Flirt,"{' rock-and-roll', ' doo-wop', 'rockabilly'}",3,525,1575
Sloop John B,"{' psychedelic rock', ' rock', ' folk rock', 'baroque pop', ' baroque pop', 'folk rock', ' sunshine pop', ' classic rock', ' mellow gold'}",9,2725,24525
Family Man,"{'heartland rock', ' soft rock', ' rock', ' classic rock', ' album rock', ' mellow gold', ' singer-songwriter', ' yacht rock'}",8,4208,33664
Carry on Wayward Son,"{'heartland rock', ' soft rock', ' rock', ' classic rock', ' album rock', ' mellow gold', ' progressive rock', ' hard rock'}",8,4015,32120
You Keep Me Hangin On,"{' new romantic', ' new wave pop', 'new wave'}",3,494,1482
Red Light Special,"{' urban contemporary', ' r&b', ' contemporary r&b', 'hip pop', ' atl hip hop', ' dance pop', ' girl group'}",7,2612,18284
A Song For Mama,"{' urban contemporary', ' r&b', ' boy band', 'new jack swing', ' contemporary r&b'}",5,1678,8390
I Don't Want This Night To End,"{' country', 'country road', ' contemporary country'}",3,451,1353
A Little Bit More - Single Version,"{'country rock', ' mellow gold', ' soft rock'}",3,1560,4680
Music,"{' pop', 'dance pop', ' dance pop', 'pop'}",4,2079,8316
Crystal Blue Persuasion,"{' psychedelic rock', ' classic garage rock', ' rock-and-roll', 'folk rock', ' classic rock', ' mellow gold', ' folk rock', 'rock-and-roll', ' country rock', ' bubblegum pop'}",10,2955,29550
Devoted to You,"{' rock-and-roll', 'folk rock', ' sunshine pop', 'rockabilly', ' mellow gold', ' folk rock', ' adult standards', ' rockabilly'}",8,2288,18304
Love's Grown Deep,,0,0,0
I'm Real (feat. Ja Rule) - Murder Remix,"{' urban contemporary', ' queens hip hop', ' rap', 'gangster rap', ' east coast hip hop', ' hip hop', ' hip pop', ' pop rap', ' pop', ' dance pop'}",10,3690,36900
This Is Your Night,"{'dutch pop', ' vocal house'}",2,8,16
The Closer I Get to You (Originally Performed by Roberta Flack and Donny Hathaway) [Karaoke Version],,0,0,0
Here,"{' canadian contemporary r&b', ' canadian pop', 'pop'}",3,777,2331
Hell Of A View,"{' country', ' contemporary country', 'country road'}",3,451,1353
Separated,"{' urban contemporary', ' r&b', 'contemporary r&b'}",3,1449,4347
Black Pearl,,0,0,0
Where Are Ü Now (with Justin Bieber),"{' pop dance', ' tropical house', ' complextro', ' moombahton', ' canadian pop', ' edm', ' brostep', ' electro', ' electro house', 'pop'}",10,860,8600
Count Me In,"{'british invasion', ' bubblegum pop'}",2,204,408
Angel,"{'canadian singer-songwriter', ' lilith', ' permanent wave', ' pop rock', ' ectofolk', ' canadian pop'}",6,573,3438
Shining Star,"{' funk', ' disco', 'jazz funk', ' soul'}",4,893,3572
Gimme Little Sign,{'souldies'},1,3,3
Boogie Down,"{'p funk', ' classic soul', ' funk', ' quiet storm', ' disco', ' motown', ' soul'}",7,1604,11228
Too Young,"{'lounge', ' swing', ' vocal jazz', 'adult standards', ' lounge', ' adult standards', ' soul'}",7,1088,7616
Sugar Hill,"{' hip hop', 'alternative hip hop', ' hardcore hip hop'}",3,538,1614
Now Or Never,"{' indie poptimism', ' etherpop', ' electropop', 'pop'}",4,630,2520
Mirage - Single Version,"{' psychedelic rock', ' classic garage rock', ' rock-and-roll', 'folk rock', ' classic rock', ' mellow gold', ' folk rock', 'rock-and-roll', ' country rock', ' bubblegum pop'}",10,2955,29550
Give Me One Reason,"{'folk ', ' ""womens music"" ', 'singer-songwriter', 'lilith', 'singer-songwriter '}",5,37,185
Honeycomb,{'yodeling'},1,2,2
You've Really Got A Hold On Me - Live At The Apollo Theater/1963,"{' quiet storm', 'classic soul', ' rhythm and blues', ' motown', ' soul'}",5,899,4495
Wolverton Mountain,"{'cowboy western', ' western swing'}",2,9,18
Sorry Not Sorry,"{' post-teen pop', 'pop'}",2,629,1258
Games People Play,"{' soft rock', ' classic rock', 'art rock', ' symphonic rock', ' album rock', ' mellow gold', ' progressive rock'}",7,2865,20055
Rock Steady,"{' urban contemporary', ' classic soul', ' post-disco', 'soul', ' funk', ' quiet storm', ' disco', ' new jack swing'}",8,2192,17536
bad guy,"{' art pop', ' electropop', 'pop'}",3,643,1929
I Believe,"{' cowboy western', ' easy listening', 'rock-and-roll', ' adult standards'}",4,780,3120
Thought I'd Died And Gone To Heaven,"{'heartland rock', 'soft rock', ' soft rock', ' classic canadian rock', ' canadian singer-songwriter', ' canadian pop', ' mellow gold', ' heartland rock'}",8,2368,18944
Famous Friends,"{' country', ' contemporary country', ' black americana', 'country road'}",4,462,1848
West End Girls - 2018 Remaster,"{' synthpop', ' new romantic', ' art pop', 'new wave pop', ' new wave', ' dance rock', ' permanent wave', 'dance rock', ' new wave pop'}",9,1383,12447
Dream On,"{' classic rock', ' rock', ' album rock', 'rock', 'classic rock', ' hard rock'}",6,2338,14028
Image of a Girl,,0,0,0
Lonely Days,"{'soft rock', ' disco'}",2,571,1142
Butterfly,"{' funk metal', ' post-grunge', 'nu metal', ' rap rock', ' alternative metal'}",5,192,960
Magnolia,"{' rap', ' rage rap', ' plugg', ' atl hip hop', 'pluggnb'}",5,835,4175
Can't Let You Go (feat. Mike Shorey & Lil' Mo),"{' urban contemporary', ' trap', ' r&b', ' rap', 'gangster rap', ' hip hop', ' contemporary r&b', ' hip pop', ' pop rap'}",9,3599,32391
Three Little Pigs,"{'comic metal', ' funk metal'}",2,19,38
The Good Ones,{'contemporary country'},1,68,68
Five More Minutes,"{' modern country rock', 'contemporary country', ' country', ' country road'}",4,400,1600
(I Can't Get No) Satisfaction - Mono Version,"{' rock', ' classic rock', ' british invasion', ' album rock', 'rock', 'classic rock'}",6,2141,12846
Pure Water,"{' trap', ' cali rap', ' rap', 'southern hip hop', ' hip hop', ' pop rap', ' atl hip hop'}",7,2080,14560
Keep on Loving You,"{'heartland rock', ' soft rock', ' glam metal', ' rock', ' classic rock', ' album rock', ' mellow gold', ' hard rock'}",8,4090,32720
Wait for You,{'idol'},1,12,12
Because,"{'adult standards', ' easy listening'}",2,312,624
Wasted on the Way - 2005 Remaster,"{'heartland rock', ' soft rock', ' rock', ' classic rock', ' album rock', ' mellow gold', ' folk rock', ' country rock', ' folk'}",9,4262,38358
"You Don't Have to Be a Star (To Be in My Show) [Originally Performed by Marilyn McCoo & Billy Davis, Jr] {Karaoke Version}",{'karaoke'},1,177,177
Justify My Love,"{' pop', 'dance pop', ' dance pop', 'pop'}",4,2079,8316
The Git Up,"{'country rap', ' black americana'}",2,12,24
I Wonder Who's Kissing Her Now,"{'singer-songwriter', ' classic rock', 'classic rock', ' folk rock', ' singer-songwriter', ' folk'}",6,1548,9288
Ruby Tuesday,"{' rock', ' classic rock', ' british invasion', ' album rock', 'rock', 'classic rock'}",6,2141,12846
Wooden Heart,,0,0,0
Dip It Low,"{' post-teen pop', ' urban contemporary', ' r&b', 'hip pop', ' dance pop'}",5,2056,10280
I Am a Rock,"{' rock', ' melancholia', ' folk rock', 'rock', ' folk', ' soft rock', 'folk rock', ' classic rock', ' mellow gold'}",9,3582,32238
You Make Me Feel Brand New,"{' classic soul', 'soul', ' funk', ' quiet storm', ' disco', ' motown', ' philly soul'}",7,1647,11529
Have You Heard,{'deep adult standards'},1,52,52
Turn Me On,"{' vincy soca', 'soca'}",2,2,4
I Will Remember You,{'christian music'},1,5,5
Burning Love,"{' rock-and-roll', 'rock-and-roll', ' rockabilly', 'rockabilly'}",4,766,3064
The Time of My Life,"{'idol', ' neo mellow', ' talent show'}",3,93,279
Money (That's What I Want) - Single Version / Mono,{'motown'},1,89,89
I Can See Clearly Now - Edit,,0,0,0
"No Shoes, No Shirt, No Problems","{'country road', ' country', 'contemporary country', ' contemporary country', ' country road'}",5,605,3025
The Best Things in Life Are Free (In the Style of Luther Vandross and Janet Jackson) [Mo'money] [Karaoke Version],{'karaoke'},1,177,177
Down in the Boondocks,"{'classic garage rock', ' bubblegum pop', ' merseybeat'}",3,305,915
Treat Me Right,"{'heartland rock', ' new romantic', ' rock', ' album rock', ' singer-songwriter', ' new wave pop', ' hard rock', ' soft rock', ' glam metal', ' classic rock', ' mellow gold'}",11,4954,54494
Doesn't Really Matter,"{' urban contemporary', ' r&b', 'dance pop'}",3,1637,4911
I'm Still in Love with You (Originally Performed by New Edition) [Karaoke Version],,0,0,0
When Can I See You,"{' urban contemporary', ' r&b', ' new jack swing', 'contemporary r&b'}",4,1636,6544
The Girl From Ipanema - Matchbox Youth & Pueblo Vista Remix,"{' brazilian jazz', ' cool jazz', ' samba-jazz', ' violao', ' jazz guitar', 'samba', ' jazz saxophone', ' vocal jazz', ' jazz', ' bossa nova', ' christian lo-fi', ' bebop', ' lounge', ' latin jazz'}",14,203,2842
I Like It,,0,0,0
Miss Independent,"{' urban contemporary', ' r&b', 'urban contemporary', ' pop', ' dance pop', 'pop'}",6,3072,18432
California Nights,"{' bubblegum pop', 'classic girl group', ' brill building pop'}",3,252,756
Mi Gente,"{' francoton', 'reggaeton colombiano', ' urbano latino', ' trap latino', ' reggaeton'}",5,63,315
"Will You Be There (Theme from ""Free Willy"")","{' r&b', 'soul'}",2,955,1910
Time Is Time,"{' soft rock', 'mellow gold', ' disco'}",3,1131,3393
I Like It,"{'dance pop', ' mexican pop', ' latin pop', ' pop', ' miami hip hop'}",5,1024,5120
Devil’s Gonna Come,"{'bossbeat', ' rebel blues'}",2,2,4
Footloose,"{'new wave pop', ' soft rock', ' classic rock', ' album rock', ' mellow gold', ' heartland rock', ' yacht rock', ' singer-songwriter'}",8,3706,29648
Until,,0,0,0
In the End,"{' nu metal', ' rap metal', ' rock', 'alternative metal', 'nu metal', ' post-grunge', ' alternative metal'}",7,855,5985
Bam Bam (feat. Ed Sheeran),"{' uk pop', ' dance pop', 'pop'}",3,1210,3630
A View to a Kill,"{' new romantic', 'new wave pop', ' rock', ' album rock', 'new wave', ' new wave pop', ' synthpop', ' new wave', ' soft rock', ' dance rock', ' classic rock'}",11,3828,42108
"Exhale (Shoop Shoop) - from ""Waiting to Exhale"" - Original Soundtrack",{'dance pop'},1,359,359
No Type,"{' mississippi hip hop', 'melodic rap', ' trap', ' rap'}",4,973,3892
Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,"{' urban contemporary', ' dirty south rap', ' trap', ' battle rap', 'dance pop', ' east coast hip hop', ' hardcore hip hop', ' pop'}",8,2226,17808
Leader of the Band,"{' soft rock', ' classic rock', 'country rock', ' mellow gold', ' folk rock', ' singer-songwriter', ' yacht rock'}",7,3034,21238
I Get Weak,"{' synthpop', ' new romantic', 'new wave pop', ' soft rock'}",4,1533,6132
Without You,"{' sleaze rock', ' glam metal', ' rock', ' hard rock', ' metal', ' alternative metal', 'album rock'}",7,1204,8428
Dynamite,"{' pop rap', ' dance pop', 'pop'}",3,1521,4563
Naturally,{'pop'},1,588,588
"Managua, Nicaragua","{' british dance band', 'vaudeville', ' swing', ' big band', ' tin pan alley'}",5,76,380
Eyes Without A Face,"{' new romantic', 'new wave pop', ' rock', ' album rock', 'new wave', ' new wave pop', ' hard rock', ' synthpop', ' new wave', ' soft rock', ' dance rock', ' classic rock'}",12,4150,49800
Don’t Expect Me to be Your Friend - Rerecorded,{'soft rock'},1,253,253
Temptation Eyes,"{' psychedelic rock', ' classic garage rock', ' soft rock', ' sunshine pop', 'country rock', ' folk rock', ' bubblegum pop'}",7,1537,10759
Let's Ride,"{' urban contemporary', ' dirty south rap', ' r&b', ' new orleans rap', 'gangster rap', ' contemporary r&b', ' new jack swing', ' southern hip hop'}",8,2348,18784
Power Trip (feat. Miguel),"{' r&b', ' conscious hip hop', ' rap', 'north carolina hip hop', ' hip hop'}",5,1794,8970
Close To Me (with Diplo) (feat. Swae Lee),"{' pop dance', ' uk pop', ' trap', ' indietronica', ' rap', ' tropical house', ' moombahton', ' metropopolis', ' melodic rap', 'electro house', ' edm', ' pop'}",12,1740,20880
Swing My Way,{'atlanta bass'},1,5,5
Dueling Banjos,{'banjo'},1,1,1
Last Night,{'contemporary r&b'},1,171,171
Bed Of Roses,"{'glam metal', 'rock', ' glam metal', ' rock'}",4,1028,4112
A Moment Like This,"{'talent show', ' talent show', ' pop', ' dance pop', 'pop'}",5,1772,8860
Love on a Two Way Street,"{' classic soul', ' post-disco', 'soul', ' southern soul', ' funk', ' quiet storm', ' disco', ' motown'}",8,1748,13984
I'm a Thug,"{' crunk', ' dirty south rap', ' miami hip hop', 'southern hip hop'}",4,393,1572
If I Were A Carpenter - Live From The Desert Inn / 1971,"{' rock-and-roll', ' easy listening', 'lounge', ' vocal jazz', ' adult standards'}",5,1097,5485
Everything About You,"{'funk rock', ' glam metal', ' funk metal', ' hard rock'}",4,512,2048
Pink Houses,"{'heartland rock', ' rock', ' album rock', ' folk rock', ' singer-songwriter', ' hard rock', ' soft rock', ' classic rock', ' mellow gold', ' country rock'}",10,4839,48390
Delicate,{'pop'},1,588,588
Wockesha,"{' trap', ' rap', 'southern hip hop', ' tennessee hip hop', ' memphis hip hop'}",5,1037,5185
Free Your Mind,"{' urban contemporary', ' r&b', ' contemporary r&b', ' new jack swing', 'hip pop', ' girl group'}",6,2037,12222
Glamorous,"{' trap', ' dirty south rap', ' rap', 'southern hip hop', ' pop', ' hip hop', ' pop rap', ' atl hip hop', ' old school atlanta hip hop', ' dance pop'}",10,3441,34410
Let Me Hold You (feat. Omarion),"{' urban contemporary', ' dirty south rap', ' trap', ' r&b', ' rap', ' southern hip hop', ' pop rap', 'hip pop', ' dance pop'}",9,3702,33318
Victory,"{' funk', ' disco', 'motown', ' soul'}",4,972,3888
(What A) Wonderful World,"{' classic soul', 'vocal jazz', ' soul'}",3,581,1743
Love Is Alive,"{' soft rock', ' classic rock', ' southern rock', ' album rock', 'country rock', ' mellow gold', ' yacht rock'}",7,2963,20741
Panini,{'lgbtq+ hip hop'},1,5,5
Rolling in the Deep,"{' uk pop', ' pop soul', ' british soul', 'pop'}",4,693,2772
Don't Let The Rain Come Down (Crooked Little Man),{'american folk revival'},1,17,17
Deck Of Cards,"{'cowboy western', ' classic country pop', ' western swing'}",3,82,246
(God Must Have Spent) A Little More Time On You - Remix,"{' boy band', ' pop', 'dance pop'}",3,1035,3105
Let It Go,{'pop rap'},1,25,25
Sunshine Superman,"{' psychedelic rock', ' folk rock', ' singer-songwriter', ' psychedelic folk', ' folk', 'folk rock', ' glam rock', ' classic rock', 'glam rock', ' british invasion', ' scottish singer-songwriter', ' british folk'}",12,2135,25620
"So Fresh, So Clean","{' dirty south rap', ' rap', 'southern hip hop', ' hip hop', ' atl hip hop', ' old school atlanta hip hop'}",6,1634,9804
Cantaloop (Flip Fantasia),"{' jazz trumpet', 'jazz rap', ' acid jazz'}",3,8,24
Get Back (Karaoke in the style of The Beatles With Billy Preston),{'karaoke'},1,177,177
Surface Pressure,{'movie tunes'},1,6,6
Time Today,"{' trap', ' rap', 'southern hip hop', ' tennessee hip hop', ' memphis hip hop'}",5,1037,5185
"Take My Breath Away - Love Theme from ""Top Gun""","{' synthpop', ' new romantic', 'new wave pop', ' soft rock', ' new wave', ' album rock'}",6,2237,13422
Hanging By A Moment,"{'neo mellow', ' pop rock', ' post-grunge'}",3,275,825
All For You,"{' urban contemporary', ' r&b', 'dance pop'}",3,1637,4911
Anna,,0,0,0
Happy People - Album Version with DJ Skit,,0,0,0
Eight Days A Week - Remastered 2009,"{' psychedelic rock', ' classic rock', ' rock', 'psychedelic rock', ' british invasion', ' beatlesque', 'rock', ' merseybeat'}",8,1926,15408
Valotte,"{' new wave pop', 'beatlesque'}",2,216,432
Boogie On Reggae Woman,"{'motown', ' soul'}",2,410,820
New Flame (feat. Usher & Rick Ross),"{' south carolina hip hop', ' trap', ' dirty south rap', ' urban contemporary', ' r&b', ' rap', 'dance pop', ' gangster rap', ' hip hop', ' contemporary r&b', ' atl hip hop', ' pop', ' southern hip hop'}",13,4542,59046
Right Place Wrong Time,"{' traditional blues', 'soul', ' louisiana blues', ' jazz blues', ' funk', ' new orleans blues', ' roots rock', ' piano blues', ' blues', ' modern blues', ' acoustic blues'}",11,693,7623
Let Her Cry,"{'pop rock', ' post-grunge', ' heartland rock'}",3,241,723
A Thousand Years,{'pop'},1,588,588
That's All You Gotta Do,"{' easy listening', 'rockabilly', 'easy listening', ' lounge', ' adult standards', ' rockabilly'}",6,1072,6432
I Turn to You,"{' urban contemporary', ' r&b', ' rap', 'gangster rap', 'dance pop', ' east coast hip hop', ' hip hop', ' hip pop', ' southern hip hop', ' pop rap', ' pop', ' trap queen', ' dance pop'}",13,4910,63830
Sum 2 Prove,"{' atl trap', ' rap', 'trap', ' atl hip hop'}",4,870,3480
Adia,"{'canadian singer-songwriter', ' lilith', ' permanent wave', ' pop rock', ' ectofolk', ' canadian pop'}",6,573,3438
A Hard Day's Night - Remastered 2009,"{' psychedelic rock', ' classic rock', ' rock', 'psychedelic rock', ' british invasion', ' beatlesque', 'rock', ' merseybeat'}",8,1926,15408
So What,{'boston hip hop'},1,2,2
Keep the Fire Burnin',"{'heartland rock', ' soft rock', ' glam metal', ' rock', ' classic rock', ' album rock', ' mellow gold', ' hard rock'}",8,4090,32720
We Got The Beat,"{'beach music', ' new romantic', 'glam metal', ' classic soul', 'new wave pop', ' rock', ' quiet storm', ' memphis soul', 'hard rock', ' singer-songwriter', ' new wave pop', ' hard rock', ' instrumental funk', ' new wave', ' soft rock', 'soft rock', 'dance pop', ' new jack swing', ' blues', ' soul', ' girl group', 'heartland rock', ' jangle pop', ' psychedelic rock', ' r&b', ' rock-and-roll', ' country rock', ' southern soul', ' permanent wave', ' disco', ' album rock', ' instrumental soul', ' folk', ' pop', ' synthpop', 'karaoke', ' urban contemporary', 'soul', 'folk rock', ' adult standards', ' funk', ' classic rock', ' glam metal', ' british invasion', ' mellow gold', ' candy pop', 'instrumental soul', 'contemporary r&b', ' philly soul'}",49,13433,658217
Riders on the Storm,"{' psychedelic rock', ' classic rock', ' rock', ' album rock', 'acid rock', ' hard rock'}",6,2336,14016
Bang Bang (My Baby Shot Me Down),"{' pop', 'dance pop', ' dance pop', 'pop'}",4,2079,8316
Even Though I'm Leaving,"{'contemporary country', ' country'}",2,267,534
"Sugar, We're Goin Down","{'pop punk', ' modern rock', ' rock', ' pop', ' emo'}",5,1316,6580
You Mean the World to Me,"{' urban contemporary', ' r&b', 'contemporary r&b', ' dance pop'}",4,2003,8012
Animals,{'pop'},1,588,588
Body,"{' houston rap', ' rap', ' trap queen', 'pop'}",4,1267,5068
